datetime,symbol,open,high,low,close,volume
2021-08-12,BITKUB:BTCTHB,1537499.82,1548497.83,1466000.0,1470525.0,405.46865079
2021-08-13,BITKUB:BTCTHB,1470999.93,1543999.0,1470000.0,1533179.94,326.93431231
2021-08-14,BITKUB:BTCTHB,1533180.0,1570000.0,1520005.0,1539003.06,394.98819426
2021-08-15,BITKUB:BTCTHB,1539004.06,1549900.0,1510000.0,1527494.34,253.15491435
2021-08-16,BITKUB:BTCTHB,1523506.0,1568000.0,1517000.0,1542765.01,330.83654309
2021-08-17,BITKUB:BTCTHB,1546499.99,1559989.0,1525000.0,1530010.05,290.21940186
2021-08-18,BITKUB:BTCTHB,1530010.05,1544000.0,1503000.0,1532999.0,358.08156643
2021-08-19,BITKUB:BTCTHB,1532999.0,1535000.0,1477000.03,1520001.05,299.30078953
2021-08-20,BITKUB:BTCTHB,1520001.1,1620000.0,1512616.34,1610800.0,430.56479383
2021-08-21,BITKUB:BTCTHB,1610799.95,1639990.0,1590220.06,1635840.0,265.97200142
2021-08-22,BITKUB:BTCTHB,1635840.02,1644999.99,1605000.0,1627987.82,173.53162321
2021-08-23,BITKUB:BTCTHB,1627987.5,1679500.0,1615000.0,1660000.0,277.14806637
2021-08-24,BITKUB:BTCTHB,1659998.95,1670000.0,1600999.0,1612000.05,306.56556678
2021-08-25,BITKUB:BTCTHB,1614998.85,1635888.0,1575005.0,1631000.01,321.84977663
2021-08-26,BITKUB:BTCTHB,1632000.0,1644952.79,1551000.0,1567984.74,331.72003203
2021-08-27,BITKUB:BTCTHB,1565545.65,1608879.99,1550080.0,1597590.05,218.60051417
2021-08-28,BITKUB:BTCTHB,1597590.0,1626000.0,1592000.0,1612998.57,151.3111033
2021-08-29,BITKUB:BTCTHB,1612998.21,1630000.0,1580000.0,1600050.06,139.08036477
2021-08-30,BITKUB:BTCTHB,1600050.12,1619980.0,1560005.01,1582000.42,149.61423345
2021-08-31,BITKUB:BTCTHB,1582011.22,1596000.0,1531000.02,1539448.57,281.97971575
2021-09-01,BITKUB:BTCTHB,1533005.02,1564099.0,1505815.91,1559998.34,247.80239303
2021-09-02,BITKUB:BTCTHB,1556000.0,1618900.0,1540005.0,1597999.99,346.40168861
2021-09-03,BITKUB:BTCTHB,1597999.88,1649900.0,1575000.0,1635011.01,331.99624044
2021-09-04,BITKUB:BTCTHB,1635012.0,1643000.0,1616666.0,1622100.19,191.92720714
2021-09-05,BITKUB:BTCTHB,1625940.0,1645000.0,1615805.0,1645000.0,202.31002232
2021-09-06,BITKUB:BTCTHB,1645000.0,1692500.0,1641000.0,1684000.0,286.53609304
2021-09-07,BITKUB:BTCTHB,1684899.55,1733999.0,1500000.0,1622999.78,623.05784242
2021-09-08,BITKUB:BTCTHB,1622000.0,1622998.0,1502000.0,1560688.0,499.33429949
2021-09-09,BITKUB:BTCTHB,1563522.67,1571699.0,1520002.0,1564545.0,269.63623561
2021-09-10,BITKUB:BTCTHB,1568500.0,1568500.0,1500005.0,1519999.27,189.97115442
2021-09-11,BITKUB:BTCTHB,1519964.99,1540887.99,1495000.0,1532100.04,211.04764963
2021-09-12,BITKUB:BTCTHB,1532500.0,1537500.0,1502000.0,1521600.0,147.41047114
2021-09-13,BITKUB:BTCTHB,1521600.05,1560000.0,1469999.0,1489989.95,409.57317046
2021-09-14,BITKUB:BTCTHB,1489989.95,1550050.0,1485001.01,1545056.13,199.0206033
2021-09-15,BITKUB:BTCTHB,1546979.59,1606500.0,1539000.0,1590201.08,250.02558603
2021-09-16,BITKUB:BTCTHB,1591000.0,1600000.0,1561234.0,1593992.56,187.12618048
2021-09-17,BITKUB:BTCTHB,1591503.84,1600000.0,1570000.0,1593846.36,128.74078338
2021-09-18,BITKUB:BTCTHB,1596999.28,1636363.0,1575005.0,1611899.52,159.87986659
2021-09-19,BITKUB:BTCTHB,1608060.05,1622015.49,1581492.0,1594985.19,125.5771099
2021-09-20,BITKUB:BTCTHB,1591511.01,1598920.0,1452000.0,1501514.95,424.36048826
2021-09-21,BITKUB:BTCTHB,1501499.95,1512500.0,1400665.78,1444699.94,342.03837082
2021-09-22,BITKUB:BTCTHB,1444699.83,1480102.17,1390000.0,1478500.0,329.92820873
2021-09-23,BITKUB:BTCTHB,1478500.0,1509998.0,1462000.02,1475529.83,223.7319678
2021-09-24,BITKUB:BTCTHB,1475529.87,1510000.0,1400000.01,1447798.71,362.41213278
2021-09-25,BITKUB:BTCTHB,1447665.0,1470222.08,1422913.5,1452999.8,146.77062087
2021-09-26,BITKUB:BTCTHB,1450005.06,1479999.0,1400111.0,1460300.29,201.154158
2021-09-27,BITKUB:BTCTHB,1464719.95,1490000.0,1445000.0,1460000.0,137.33147894
2021-09-28,BITKUB:BTCTHB,1460999.81,1473997.99,1416000.0,1421849.94,190.29518207
2021-09-29,BITKUB:BTCTHB,1421849.92,1455410.0,1416000.0,1423999.35,147.12389131
2021-09-30,BITKUB:BTCTHB,1423999.35,1488499.0,1412106.07,1455500.05,229.83838058
2021-10-01,BITKUB:BTCTHB,1455500.0,1599000.0,1455500.0,1592999.64,344.7948753
2021-10-02,BITKUB:BTCTHB,1592999.52,1618140.14,1587550.45,1603999.99,207.07424982
2021-10-03,BITKUB:BTCTHB,1600500.47,1611021.0,1568888.01,1606107.94,161.24417051
2021-10-04,BITKUB:BTCTHB,1603702.62,1650000.0,1591833.43,1640280.22,279.18383596
2021-10-05,BITKUB:BTCTHB,1641999.95,1695000.0,1626000.17,1693796.27,285.78516309
2021-10-06,BITKUB:BTCTHB,1693796.27,1855555.0,1691501.01,1844998.17,640.07450596
2021-10-07,BITKUB:BTCTHB,1844998.91,1868000.0,1800000.0,1818899.0,463.91649741
2021-10-08,BITKUB:BTCTHB,1818899.87,1875550.0,1801000.0,1839098.02,290.46256999
2021-10-09,BITKUB:BTCTHB,1836339.16,1865000.0,1820000.0,1847889.07,194.10044311
2021-10-10,BITKUB:BTCTHB,1849999.0,1891997.99,1835002.0,1880000.34,248.30712662
2021-10-11,BITKUB:BTCTHB,1880000.53,1945000.0,1857536.14,1934002.07,380.18390017
2021-10-12,BITKUB:BTCTHB,1936899.89,1954000.0,1880110.01,1885009.0,343.43093211
2021-10-13,BITKUB:BTCTHB,1885009.0,1915712.14,1821008.0,1913000.06,283.080485
2021-10-14,BITKUB:BTCTHB,1915799.68,1947000.0,1880888.0,1890000.0,257.52692216
2021-10-15,BITKUB:BTCTHB,1893001.0,2045000.0,1885000.0,2045000.0,521.42590178
2021-10-16,BITKUB:BTCTHB,2041710.11,2079990.0,2000000.0,2005998.0,475.0244981
2021-10-17,BITKUB:BTCTHB,2005998.0,2039000.0,1998000.0,2032995.0,212.11252147
2021-10-18,BITKUB:BTCTHB,2031555.1,2090000.0,1999999.0,2068000.0,332.41676166
